subject,relation,object
Scene 1. A murder occurred on Brixton Road; detectives rushed to the scene and got out of the car early to check for taxi marks and footprints.,,case
Scene 1. A murder occurred on Brixton Road; detectives rushed to the scene and got out of the car early to check for taxi marks and footprints.,,just such chance
Scene 1. A murder occurred on Brixton Road; detectives rushed to the scene and got out of the car early to check for taxi marks and footprints.,,night at
Scene 1. A murder occurred on Brixton Road; detectives rushed to the scene and got out of the car early to check for taxi marks and footprints.,,spirits
Scene 1. A murder occurred on Brixton Road; detectives rushed to the scene and got out of the car early to check for taxi marks and footprints.,,subject
Scene 1. A murder occurred on Brixton Road; detectives rushed to the scene and got out of the car early to check for taxi marks and footprints.,,apathetic one
Scene 1. A murder occurred on Brixton Road; detectives rushed to the scene and got out of the car early to check for taxi marks and footprints.,,best
Scene 1. A murder occurred on Brixton Road; detectives rushed to the scene and got out of the car early to check for taxi marks and footprints.,,journey
Scene 1. A murder occurred on Brixton Road; detectives rushed to the scene and got out of the car early to check for taxi marks and footprints.,,object
Scene 1. A murder occurred on Brixton Road; detectives rushed to the scene and got out of the car early to check for taxi marks and footprints.,,no wound
Scene 1. A murder occurred on Brixton Road; detectives rushed to the scene and got out of the car early to check for taxi marks and footprints.,,you fuller details
Scene 1. A murder occurred on Brixton Road; detectives rushed to the scene and got out of the car early to check for taxi marks and footprints.,,most incurably lazy devil
Scene 1. A murder occurred on Brixton Road; detectives rushed to the scene and got out of the car early to check for taxi marks and footprints.,,two in morning
Scene 1. A murder occurred on Brixton Road; detectives rushed to the scene and got out of the car early to check for taxi marks and footprints.,,he and Lestrade
Scene 1. A murder occurred on Brixton Road; detectives rushed to the scene and got out of the car early to check for taxi marks and footprints.,,Lauriston Gardens
Scene 1. A murder occurred on Brixton Road; detectives rushed to the scene and got out of the car early to check for taxi marks and footprints.,,difference
Scene 1. A murder occurred on Brixton Road; detectives rushed to the scene and got out of the car early to check for taxi marks and footprints.,,Brixton Road
Scene 1. A murder occurred on Brixton Road; detectives rushed to the scene and got out of the car early to check for taxi marks and footprints.,,shoe leather
Scene 1. A murder occurred on Brixton Road; detectives rushed to the scene and got out of the car early to check for taxi marks and footprints.,,any evidence
Scene 1. A murder occurred on Brixton Road; detectives rushed to the scene and got out of the car early to check for taxi marks and footprints.,,Cremona fiddles
Scene 1. A murder occurred on Brixton Road; detectives rushed to the scene and got out of the car early to check for taxi marks and footprints.,,name
Scene 1. A murder occurred on Brixton Road; detectives rushed to the scene and got out of the car early to check for taxi marks and footprints.,,credit
