subject,relation,object
bad business,during,night at
bad business,during,Lauriston Gardens
night at,off,Brixton Road
Lauriston Gardens,off,Brixton Road
Our man,on,beat
beat,saw,light
light,about,two in morning
two in morning,as,empty house
Our man on beat,found,door
door,in,front room
furniture,discovered,body of gentleman
body of gentleman,having,cards
cards,in,pocket
pocket,bearing,name
name,of,Enoch J. Drebber
name,of,Cleveland
name,of,Ohio
name,of,U.S.A.
Enoch J. Drebber,had been,no robbery
Cleveland,had been,no robbery
Ohio,had been,no robbery
U.S.A.,had been,no robbery
no robbery,is,any evidence
Our man on beat,met,death
marks,of,blood
blood,in,room
room,is,no wound
no wound,upon,person
empty house,is,puzzler
whole affair,is,puzzler
empty house,before,twelve
everything,in,statu quo
you fuller details,would esteem,it great kindness
Scotland Yarders,remarked,Lestrade
my friend,remarked,Lestrade
Lestrade,are,pick
pick,of,bad lot
he and Lestrade,have,knives
some fun,over,case
case,if,he and Lestrade
most incurably lazy devil,stood in,shoe leather
most incurably lazy devil,stood in,fit
fuller details,is,just such chance
TOBIAS GREGSON,will pocket,credit
Lestrade,will pocket,credit
Co.,will pocket,credit
fuller details,to,any third person
fuller details,on,my own hook
Our man on beat,hustled on,overcoat
way,showed that,energetic fit
energetic fit,had superseded,apathetic one
"Brixton Road.,,It",was,cloudy morning
"Brixton Road.,,It",was,dun-coloured veil
cloudy morning,hung over,house-tops
dun-coloured veil,hung over,house-tops
house-tops,looking like,reflection of mud-coloured streets
My companion,was in,best
best,of,spirits
Cremona fiddles,between,Stradivarius
Cremona fiddles,between,Amati
difference,between,Stradivarius
difference,between,Amati
much thought,to,matter
matter,in,hand
capital mistake,have,evidence
my finger,is,Brixton Road
Brixton Road,is,empty house
hundred yards,from,fuller details
fuller details,insisted upon,alighting
alighting,finished,journey
journey,upon,foot
